id;point;address
98240;22173;hougang avenue 9 954
98241;22173;hougang avenue 9 955
98242;22173;hougang avenue 9 960
98243;22173;hougang avenue 9 962
98244;22173;hougang avenue 9 963
98245;22173;hougang avenue 9 964
98246;22173;hougang avenue 9 965
98247;22173;hougang avenue 9 966
98248;22173;hougang street 22 247
98249;22173;hougang street 52 446
98250;22173;hougang street 61 684
98251;22174;loyang drive 16
98252;22175;ang mo kio avenue 4 601
98253;22176;hougang street 92 936
98254;22177;hougang street 92 937
98255;22178;pasir ris street 52 517
98256;22179;ang mo kio avenue 4 159
98257;22180;ang mo kio avenue 8 504
98258;22181;serangoon north avenue 4 500
98259;22182;petir road 101
98260;22182;petir road 103
98261;22182;petir road 105
98262;22182;petir road 107
98263;22182;petir road 109
98264;22182;petir road 136
98265;22182;petir road 137
98266;22182;petir road 139
98267;22182;petir road 140
98268;22182;petir road 141
98269;22182;petir road 142
98270;22182;petir road 143
98271;22182;petir road 144
98272;22182;petir road 145
98273;22182;petir road 149
98274;22182;petir road 15
98275;22182;petir road 150
98276;22182;petir road 151
98277;22182;petir road 167
98278;22182;petir road 168
98279;22182;petir road 17
98280;22182;petir road 2
98281;22182;petir road 201
98282;22182;petir road 202
98283;22182;petir road 203
98284;22182;petir road 204
98285;22182;petir road 205
98286;22182;petir road 206
98287;22182;petir road 207
98288;22182;petir road 208
98289;22182;petir road 209
98290;22182;petir road 210
98291;22182;petir road 211
98292;22182;petir road 213
98293;22182;petir road 214
98294;22182;petir road 216
98295;22182;petir road 217
98296;22182;petir road 218
98297;22182;petir road 219
98298;22182;petir road 220
98299;22182;petir road 6
98300;22183;hougang avenue 10 401
98301;22184;pasir ris drive 4 480
98302;22185;pasir ris drive 3 31
98303;22186;loyang drive 47
98304;22187;hougang avenue 6 525
98305;22188;tampines industrial crescent 16
98306;22189;ang mo kio avenue 12 8
98307;22190;ang mo kio avenue 8 505
98308;22191;upper serangoon view 11
98309;22191;upper serangoon view 14
98310;22192;ang mo kio industrial park 2 5061
98311;22193;hougang avenue 8 698
98312;22194;hougang avenue 10 403
98313;22195;serangoon north avenue 4 538
98314;22196;upper serangoon view 16
98315;22196;upper serangoon view 20
98316;22196;upper serangoon view 23
98317;22196;upper serangoon view 24
98318;22196;upper serangoon view 26
98319;22196;upper serangoon view 28
98320;22196;upper serangoon view 30
98321;22196;upper serangoon view 31
98322;22196;upper serangoon view 32
98323;22196;upper serangoon view 33
98324;22196;upper serangoon view 476a
98325;22196;upper serangoon view 476b
98326;22196;upper serangoon view 476c
98327;22196;upper serangoon view 477b
98328;22196;upper serangoon view 477c
98329;22196;upper serangoon view 53
98330;22196;upper serangoon view 57
98331;22197;loyang drive 45
98332;22198;pasir ris street 71 773
98333;22199;loyang drive 36
98334;22200;serangoon north avenue 4 539
98335;22201;tampines industrial crescent 10
98336;22202;loyang drive 41
98337;22203;ang mo kio avenue 4 171
98338;22204;choa chu kang track 5 176
98339;22204;choa chu kang track 5 48l
98340;22204;choa chu kang track 5 48u
98341;22204;choa chu kang track 5 76c
98342;22205;loyang way 1 4
98343;22206;hougang avenue 10 414
98344;22207;hougang avenue 9 917
98345;22208;orchid drive 1
98346;22209;upper serangoon view 27
98347;22210;ang mo kio industrial park 2 5060
98348;22211;pasir ris street 53 584
98349;22212;pasir ris street 71 21
98350;22213;pasir ris street 71 776
98351;22214;hougang avenue 6 428
98352;22215;hougang avenue 9 932b
98353;22216;elias road 613
98354;22217;elias road 611
98355;22218;sembawang hills drive 107
98356;22218;sembawang hills drive 2
98357;22218;sembawang hills drive 20
98358;22218;sembawang hills drive 22
98359;22218;sembawang hills drive 8
98360;22219;loyang street 2
98361;22220;hougang street 61 698
98362;22221;sembawang hills drive 105
98363;22221;soo chow view 43
98364;22222;casuarina road 101
98365;22222;casuarina road 102
98366;22222;casuarina road 112
98367;22222;casuarina road 131
98368;22222;casuarina road 132
98369;22222;casuarina road 137
98370;22222;casuarina road 21
98371;22222;casuarina road 23
98372;22222;casuarina road 35
98373;22222;casuarina road 40
98374;22222;casuarina road 45
98375;22222;casuarina road 55
98376;22222;casuarina road 74
98377;22222;casuarina road 75
98378;22222;casuarina road 76
98379;22222;casuarina road 9
98380;22222;casuarina road 94
98381;22223;phoenix avenue 71
98382;22223;phoenix avenue 71a
98383;22223;phoenix avenue 71b
98384;22223;phoenix avenue 73
98385;22223;phoenix avenue 73b
98386;22223;phoenix avenue 73c
98387;22223;phoenix avenue 75a
98388;22223;phoenix avenue 75c
98389;22223;phoenix avenue 77
98390;22223;phoenix avenue 77a
98391;22223;phoenix avenue 79b
98392;22223;phoenix avenue 79c
98393;22223;phoenix avenue 83
98394;22223;phoenix avenue 83a
98395;22223;phoenix avenue 83b
98396;22223;phoenix avenue 85
98397;22223;phoenix avenue 85b
98398;22223;phoenix avenue 89
98399;22223;phoenix avenue 91
98400;22224;hougang avenue 8 685
98401;22225;pasir ris drive 4 479
98402;22226;nemesu avenue 106
98403;22226;nemesu avenue 108
98404;22226;nemesu avenue 126
98405;22226;nemesu avenue 31
98406;22226;nemesu avenue 32
98407;22226;nemesu avenue 45
98408;22226;nemesu avenue 7
98409;22226;nemesu avenue 79
98410;22226;nemesu avenue 8
98411;22226;nemesu avenue 96
98412;22227;sembawang hills drive 95
98413;22228;pasir ris drive 4 441
98414;22228;pasir ris drive 4 79
98415;22229;sembawang hills drive 97
98416;22230;ang mo kio avenue 2 739
98417;22231;pasir ris street 52 511
98418;22232;sembawang hills drive 93
98419;22233;hougang avenue 6 528
98420;22234;ang mo kio avenue 5 537
98421;22235;pasir ris street 71 770
98422;22236;sembawang hills drive 89
98423;22237;ang mo kio avenue 4 174
98424;22238;pasir ris drive 6 476
98425;22239;hougang avenue 9 932a
98426;22240;choa chu kang avenue 1 180
98427;22240;choa chu kang avenue 1 192a
98428;22240;choa chu kang crescent 71-e
98429;22240;choa chu kang road 1
98430;22240;choa chu kang road 104h
98431;22240;choa chu kang road 104l
98432;22240;choa chu kang road 107d
98433;22240;choa chu kang road 112a
98434;22240;choa chu kang road 126a
98435;22240;choa chu kang road 130
98436;22240;choa chu kang road 133c
98437;22426;choa chu kang road 134f
98438;22240;choa chu kang road 148h
98439;22240;choa chu kang road 156
98440;22240;choa chu kang road 168
98441;22240;choa chu kang road 174
98442;22240;choa chu kang road 176
98443;22240;choa chu kang road 178
98444;22240;choa chu kang road 180
98445;22240;choa chu kang road 190b
98446;22240;choa chu kang road 192
98447;22240;choa chu kang road 192a
98448;22240;choa chu kang road 192c
98449;22240;choa chu kang road 198
98450;22240;choa chu kang road 200
98451;22240;choa chu kang road 202
98452;22240;choa chu kang road 206
98453;22434;choa chu kang road 208
98454;22240;choa chu kang road 212
98455;22240;choa chu kang road 214
98456;22240;choa chu kang road 216
98457;22240;choa chu kang road 224
98458;22240;choa chu kang road 226g
98459;22240;choa chu kang road 226n
98460;22240;choa chu kang road 226p
98461;22240;choa chu kang road 226q
98462;22240;choa chu kang road 226t
98463;22240;choa chu kang road 228q
98464;22240;choa chu kang road 230d
98465;22240;choa chu kang road 233
98466;22240;choa chu kang road 236j
98467;22240;choa chu kang road 238m
98468;22240;choa chu kang road 244b
98469;22849;choa chu kang road 253
98470;22240;choa chu kang road 26
98471;22240;choa chu kang road 27
98472;22240;choa chu kang road 284
98473;22240;choa chu kang road 291
98474;22240;choa chu kang road 296c
98475;22240;choa chu kang road 306d
98476;22240;choa chu kang road 32
98477;22240;choa chu kang road 321f
98478;22240;choa chu kang road 32b
98479;22240;choa chu kang road 32p
98480;22240;choa chu kang road 341j
98481;22240;choa chu kang road 343l
98482;22240;choa chu kang road 350
98483;22240;choa chu kang road 352
98484;22240;choa chu kang road 356
98485;22240;choa chu kang road 360
98486;22240;choa chu kang road 380
98487;22240;choa chu kang road 381
98488;22240;choa chu kang road 387
98489;22240;choa chu kang road 40
98490;22240;choa chu kang road 46g
98491;22240;choa chu kang road 53
98492;22240;choa chu kang road 54a
98493;22240;choa chu kang road 55
98494;22240;choa chu kang road 599
98495;22240;choa chu kang road 601
98496;22240;choa chu kang road 602
98497;22240;choa chu kang road 612
98498;22240;choa chu kang road 61a
98499;22240;choa chu kang road 61b
98500;22240;choa chu kang road 61c
98501;22240;choa chu kang road 61d
98502;22240;choa chu kang road 61f
98503;22240;choa chu kang road 61g
98504;22240;choa chu kang road 61h
98505;22240;choa chu kang road 63
98506;22240;choa chu kang road 63a
98507;22240;choa chu kang road 63d
98508;22240;choa chu kang road 65a
98509;22240;choa chu kang road 65b
98510;22240;choa chu kang road 65d
98511;22240;choa chu kang road 65f
98512;22240;choa chu kang road 65h
98513;22240;choa chu kang road 65j
98514;22240;choa chu kang road 66f
98515;22635;choa chu kang road 66h
98516;22240;choa chu kang road 67
98517;22240;choa chu kang road 67a
98518;22240;choa chu kang road 67c
98519;22240;choa chu kang road 67d
98520;22240;choa chu kang road 69a
98521;22240;choa chu kang road 69b
98522;22240;choa chu kang road 69e
98523;22240;choa chu kang road 69f
98524;22240;choa chu kang road 69g
98525;22240;choa chu kang road 71
98526;22240;choa chu kang road 71-f
98527;22240;choa chu kang road 71a
98528;22240;choa chu kang road 71c
98529;22240;choa chu kang road 71e
98530;22240;choa chu kang road 71g
98531;22240;choa chu kang road 73
98532;22240;choa chu kang road 735
98533;22240;choa chu kang road 75b
98534;22240;choa chu kang road 75c
98535;22240;choa chu kang road 800
98536;22240;choa chu kang road 81
98537;22240;choa chu kang road 96a
98538;22240;choa chu kang road 98b
98539;22240;choa chu kang road 990
98540;22240;old choa chu kang road 500
98541;22240;old choa chu kang road 501
98542;22240;old choa chu kang road 601
98543;22240;old choa chu kang road 800
98544;22241;hougang avenue 10 415
98545;22242;sembawang hills drive 91
98546;22243;hougang avenue 6 530
98547;22244;sembawang hills drive 83
98548;22245;hougang avenue 9 952
98549;22246;ang mo kio avenue 4 157
98550;22246;ang mo kio avenue 4 blk 157
98551;22246;ang mo kio avenue 4 blk 257
98552;22247;sembawang hills drive 81
98553;22248;ang mo kio industrial park 2 5062
98554;22249;sembawang hills drive 79
98555;22250;pasir ris street 53 586
98556;22251;sembawang hills drive 77
98557;22252;ang mo kio avenue 10 540
98558;22253;upper serangoon view 29
98559;22254;sembawang hills drive 71
98560;22255;ang mo kio avenue 4 173
98561;22256;pasir ris street 53 582
98562;22257;upper serangoon view 61
98563;22258;ang mo kio avenue 10 539
98564;22259;upper serangoon view 25
98565;22260;upper serangoon view 63
98566;22262;ang mo kio avenue 5 503
98567;22263;ang mo kio industrial park 2 5065
98568;22264;hougang avenue 10 421
98569;22265;serangoon north avenue 5 21
98570;25511;serangoon north avenue 5 no. 21
98571;22447;ang mo kio avenue 10 4016
98572;22266;ang mo kio avenue 10 4028
98573;22266;ang mo kio avenue 10 5085
98574;22266;ang mo kio avenue 10 6007
98575;22266;ang mo kio avenue 2 10
98576;22447;ang mo kio avenue 3 5033
98577;22266;ang mo kio avenue 3 5066
98578;22266;ang mo kio avenue 5 10
98579;22266;ang mo kio industrial park 1 4001
98580;22266;ang mo kio industrial park 1 4003
98581;22266;ang mo kio industrial park 1 4014
98582;22447;ang mo kio industrial park 1 4016
98583;22266;ang mo kio industrial park 1 4028
98584;22266;ang mo kio industrial park 1 4035
98585;22266;ang mo kio industrial park 1 501
98586;22266;ang mo kio industrial park 1 5091
98587;22266;ang mo kio industrial park 1 blk 4016
98588;22266;ang mo kio industrial park 1 blk 5083
98589;22266;ang mo kio industrial park 2 1
98590;22266;ang mo kio industrial park 2 10
98591;22266;ang mo kio industrial park 2 12
98592;22266;ang mo kio industrial park 2 16
98593;22266;ang mo kio industrial park 2 2
98594;22266;ang mo kio industrial park 2 231/233
98595;22266;ang mo kio industrial park 2 26
98596;22266;ang mo kio industrial park 2 28
98597;22266;ang mo kio industrial park 2 3
98598;22266;ang mo kio industrial park 2 30
98599;22266;ang mo kio industrial park 2 32
98600;22266;ang mo kio industrial park 2 3551
